Noticia,Ponderacion
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-05_20.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-06_18.txt,0.12121212121212122
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-06_19.txt,0.25
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-07_16.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-07_17.txt,0.391304347826087
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-08_14.txt,0.6808510638297872
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-08_15.txt,0.5862068965517241
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-09_13.txt,0.1935483870967742
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-10_11.txt,0.35789473684210527
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-10_12.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-11_10.txt,0.3333333333333333
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-12_9.txt,0.4918032786885246
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-13_7.txt,0.1935483870967742
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-13_8.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-14_6.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-21_5.txt,0.375
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-23_4.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-27_1.txt,0.4657534246575342
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-27_2.txt,0.5777777777777777
